N I Block start End of block Size D AS Block name Organization Country
1 89.107.176.0 89.107.183.255 2048 AS: various ES-BBVA-20060512 ORG-BBVA1-RIPE ES
2 185.24.4.0 185.24.7.255 1024 AS: various ES-BBVA-20130416 ORG-BBVA1-RIPE ES
3 89.107.176.0 89.107.176.255 256 AS15810 BBVA Banco Bilbao Vizcaya S.A. ES, Madrid
4 89.107.177.0 89.107.177.255 256 AS15810 BBVA Banco Bilbao Vizcaya Argentaria S.A. ES, Madrid
5 89.107.178.0 89.107.178.255 256 AS15810 BBVA Banco Bilbao Vizcaya S.A. ES, Bilbao
6 89.107.179.0 89.107.179.255 256 AS15810 BBVA Banco Bilbao Vizcaya S.A. ES, Bilbao
7 89.107.180.0 89.107.180.255 256 AS15810 BBVA Banco Bilbao Vizcaya S.A. ES, Madrid
8 89.107.181.0 89.107.181.255 256 AS15810 BBVA Banco Bilbao Vizcaya S.A. ES, Bilbao
9 89.107.182.0 89.107.182.255 256 AS15810 BBVA Banco Bilbao Vizcaya S.A. ES, Bilbao
10 89.107.183.0 89.107.183.255 256 AS15810 BBVA Banco Bilbao Vizcaya S.A. ES, Valencia
11 185.24.4.0 185.24.4.255 256 AS15810 BBVA Banco Bilbao Vizcaya S.A. ES, Bilbao
12 194.179.83.0 194.179.83.255 256 AS3352 BBVA Banco Bilbao Vizcaya Argentaria Internet Public Addresses ES, Bilbao
13 195.53.15.0 195.53.15.255 256 AS3352 BBVA BANCO BILBAO VIZCAYA ARGENTARIA S A ES, Bilbao
14 195.76.187.0 195.76.187.255 256 AS3352 BBVA Banco Bilbao Vizcaya Argentaria ES, Bilbao
15 213.4.110.0 213.4.110.255 256 AS3352 bbva BANCO BILBAO VIZCAYA ARGENTARIA Internet Public Addresses ES, Bilbao
16 213.242.94.0 213.242.94.255 256 AS3356 BBVA Customer Network ES, Ciutadella
17 185.24.5.0 185.24.5.255 256 unannounced BBVA Banco Bilbao Vizcaya S.A. ES, Bilbao
18 185.24.6.0 185.24.6.255 256 AS15810 BBVA ES, Madrid
19 185.24.7.0 185.24.7.255 256 AS15810 BBVA ES, Madrid
20 213.27.167.128 213.27.167.255 128 AS8220 NET-ES-BBVA BBVA ES, Madrid
21 212.0.96.128 212.0.96.255 128 AS8220 NET-ES-BBVA BBVA ES, Madrid
22 213.229.170.0 213.229.170.127 128 AS8220 NET-ES-BBVA BBVA ES, Madrid
23 213.27.128.0 213.27.128.127 128 AS8220 NET-ES-BBVA BBVA ES, Madrid
24 213.27.165.192 213.27.165.255 64 AS8220 NET-ES-BBVA BBVA ES, Madrid
